domain_id,test_type,difficulty,question_text,question_format,options,correct_option,explanation
,APTITUDE,EASY,If 5 workers build 5 walls in 5 days how many days will 10 workers take to build 10 walls?,MCQ,"[""5 days"",""10 days"",""2.5 days"",""1 day""]",0,Work scales proportionally so still 5 days
,APTITUDE,EASY,What is 15% of 200?,MCQ,"[""30"",""25"",""35"",""20""]",0,15% of 200 = 15/100 × 200 = 30
,APTITUDE,EASY,If a train travels 60 km in 1 hour what is its speed?,MCQ,"[""60 km/h"",""30 km/h"",""120 km/h"",""90 km/h""]",0,Speed = distance/time = 60/1 = 60 km/h
,APTITUDE,EASY,Find the next number: 2 4 6 8 ?,MCQ,"[""10"",""12"",""9"",""11""]",0,Pattern increases by 2
,APTITUDE,EASY,What is the average of 10 20 30 and 40?,MCQ,"[""25"",""20"",""30"",""15""]",0,Average = (10+20+30+40)/4 = 100/4 = 25
,APTITUDE,EASY,If 5 pens cost Rs 50 what is the cost of 3 pens?,MCQ,"[""Rs 30"",""Rs 25"",""Rs 35"",""Rs 40""]",0,Cost per pen = 50/5 = 10 so 3 pens = 30
,APTITUDE,EASY,Simplify: 5 + 3 × 2,MCQ,"[""11"",""16"",""13"",""10""]",0,BODMAS: 3×2=6 then 5+6=11
,APTITUDE,EASY,What is 25% of 80?,MCQ,"[""20"",""15"",""25"",""30""]",0,25% of 80 = 25/100 × 80 = 20
,APTITUDE,EASY,If A is taller than B and B is taller than C who is shortest?,MCQ,"[""C"",""B"",""A"",""Cannot determine""]",0,C is shorter than B who is shorter than A
,APTITUDE,EASY,A clock shows 3:15. What is the angle between hour and minute hands?,MCQ,"[""7.5 degrees"",""15 degrees"",""22.5 degrees"",""30 degrees""]",0,Hour hand at 97.5° minute hand at 90° difference is 7.5°
,APTITUDE,EASY,What comes next: 1 4 9 16 ?,MCQ,"[""25"",""20"",""36"",""30""]",0,Perfect squares: 1² 2² 3² 4² 5²=25
,APTITUDE,EASY,If x + 5 = 12 what is x?,MCQ,"[""7"",""6"",""8"",""5""]",0,x = 12 - 5 = 7
,APTITUDE,EASY,What is 10% of 500?,MCQ,"[""50"",""40"",""60"",""45""]",0,10% of 500 = 500/10 = 50
,APTITUDE,EASY,How many sides does a hexagon have?,MCQ,"[""6"",""5"",""7"",""8""]",0,A hexagon has 6 sides
,APTITUDE,EASY,What is 3 squared?,MCQ,"[""9"",""6"",""12"",""27""]",0,3² = 3 × 3 = 9
,APTITUDE,EASY,If 2x = 10 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 10/2 = 5
,APTITUDE,EASY,What is the sum of angles in a triangle?,MCQ,"[""180 degrees"",""360 degrees"",""90 degrees"",""270 degrees""]",0,Sum of angles in triangle is always 180°
,APTITUDE,EASY,What is 20% of 100?,MCQ,"[""20"",""25"",""15"",""30""]",0,20% of 100 = 20/100 × 100 = 20
,APTITUDE,EASY,If 1 dozen = 12 how many items in 3 dozen?,MCQ,"[""36"",""24"",""48"",""30""]",0,3 × 12 = 36
,APTITUDE,EASY,What is the next prime after 7?,MCQ,"[""11"",""9"",""10"",""13""]",0,11 is the next prime number after 7
,APTITUDE,EASY,What is 50% of 60?,MCQ,"[""30"",""25"",""35"",""20""]",0,50% of 60 = 60/2 = 30
,APTITUDE,EASY,How many minutes in 2 hours?,MCQ,"[""120"",""100"",""140"",""110""]",0,2 hours × 60 minutes = 120 minutes
,APTITUDE,EASY,What is 8 × 7?,MCQ,"[""56"",""54"",""63"",""49""]",0,8 × 7 = 56
,APTITUDE,EASY,If a = 2 and b = 3 what is a + b?,MCQ,"[""5"",""6"",""4"",""7""]",0,2 + 3 = 5
,APTITUDE,EASY,What is the square root of 64?,MCQ,"[""8"",""7"",""9"",""6""]",0,√64 = 8
,APTITUDE,EASY,How many days in a leap year?,MCQ,"[""366"",""365"",""364"",""367""]",0,Leap year has 366 days
,APTITUDE,EASY,What is 100 - 37?,MCQ,"[""63"",""73"",""53"",""67""]",0,100 - 37 = 63
,APTITUDE,EASY,If 4 + x = 9 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 9 - 4 = 5
,APTITUDE,EASY,What is 5 × 6?,MCQ,"[""30"",""25"",""35"",""40""]",0,5 × 6 = 30
,APTITUDE,EASY,How many hours in a day?,MCQ,"[""24"",""12"",""48"",""36""]",0,One day has 24 hours
,APTITUDE,EASY,What is 75% of 40?,MCQ,"[""30"",""25"",""35"",""20""]",0,75% of 40 = 75/100 × 40 = 30
,APTITUDE,EASY,What comes next: 5 10 15 20 ?,MCQ,"[""25"",""30"",""22"",""35""]",0,Pattern increases by 5
,APTITUDE,EASY,If 3x = 15 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 15/3 = 5
,APTITUDE,EASY,What is 12 + 8?,MCQ,"[""20"",""18"",""22"",""19""]",0,12 + 8 = 20
,APTITUDE,EASY,How many cents in a dollar?,MCQ,"[""100"",""50"",""25"",""10""]",0,One dollar equals 100 cents
,APTITUDE,EASY,What is 9 × 4?,MCQ,"[""36"",""32"",""40"",""35""]",0,9 × 4 = 36
,APTITUDE,EASY,If y - 3 = 7 what is y?,MCQ,"[""10"",""9"",""11"",""4""]",0,y = 7 + 3 = 10
,APTITUDE,EASY,What is 40% of 50?,MCQ,"[""20"",""15"",""25"",""30""]",0,40% of 50 = 40/100 × 50 = 20
,APTITUDE,EASY,How many edges does a cube have?,MCQ,"[""12"",""8"",""6"",""10""]",0,A cube has 12 edges
,APTITUDE,EASY,What is 15 - 8?,MCQ,"[""7"",""6"",""8"",""9""]",0,15 - 8 = 7
,APTITUDE,EASY,If 5 apples cost Rs 25 what is cost per apple?,MCQ,"[""Rs 5"",""Rs 4"",""Rs 6"",""Rs 3""]",0,Cost per apple = 25/5 = 5
,APTITUDE,EASY,What is 6 × 8?,MCQ,"[""48"",""42"",""54"",""56""]",0,6 × 8 = 48
,APTITUDE,EASY,What comes next: 3 6 9 12 ?,MCQ,"[""15"",""18"",""14"",""16""]",0,Pattern increases by 3
,APTITUDE,EASY,What is 90% of 100?,MCQ,"[""90"",""80"",""95"",""85""]",0,90% of 100 = 90/100 × 100 = 90
,APTITUDE,EASY,If x/2 = 8 what is x?,MCQ,"[""16"",""14"",""18"",""12""]",0,x = 8 × 2 = 16
,APTITUDE,EASY,What is 7 + 9?,MCQ,"[""16"",""15"",""17"",""18""]",0,7 + 9 = 16
,APTITUDE,EASY,How many weeks in a year?,MCQ,"[""52"",""50"",""48"",""54""]",0,One year has approximately 52 weeks
,APTITUDE,EASY,What is 11 × 3?,MCQ,"[""33"",""30"",""36"",""39""]",0,11 × 3 = 33
,APTITUDE,EASY,What is half of 50?,MCQ,"[""25"",""20"",""30"",""15""]",0,50/2 = 25
,APTITUDE,EASY,If 2 + x = 5 what is x?,MCQ,"[""3"",""2"",""4"",""5""]",0,x = 5 - 2 = 3
,APTITUDE,MEDIUM,A can complete work in 12 days B in 18 days. How many days together?,MCQ,"[""7.2 days"",""8 days"",""6 days"",""9 days""]",0,1/12+1/18=5/36 so 36/5=7.2 days
,APTITUDE,MEDIUM,Ages of A and B are in ratio 3:5. Sum is 40. What is B's age?,MCQ,"[""25"",""20"",""30"",""15""]",0,Let 3x+5x=40 so 8x=40 x=5 B=5×5=25
,APTITUDE,MEDIUM,A train 100m long crosses pole in 10 seconds. What is speed?,MCQ,"[""10 m/s"",""20 m/s"",""15 m/s"",""5 m/s""]",0,Speed = distance/time = 100/10 = 10 m/s
,APTITUDE,MEDIUM,Find compound interest on Rs 10000 at 10% for 2 years.,MCQ,"[""Rs 2100"",""Rs 2000"",""Rs 2200"",""Rs 1900""]",0,CI = 10000(1.1)²-10000 = 12100-10000 = 2100
,APTITUDE,MEDIUM,In how many ways can 5 people be arranged in a row?,MCQ,"[""120"",""100"",""60"",""24""]",0,5! = 5×4×3×2×1 = 120
,APTITUDE,MEDIUM,Price increases 20% then decreases 20%. Net change?,MCQ,"[""4% decrease"",""No change"",""4% increase"",""8% decrease""]",0,After both changes: 100→120→96 so 4% decrease
,APTITUDE,MEDIUM,Bag has 5 red 7 blue balls. Probability of red ball?,MCQ,"[""5/12"",""7/12"",""1/2"",""5/7""]",0,P(red) = 5/(5+7) = 5/12
,APTITUDE,MEDIUM,Three consecutive odd numbers sum to 63. Find largest.,MCQ,"[""23"",""21"",""25"",""19""]",0,Let x+x+2+x+4=63 so 3x+6=63 x=19 largest=23
,APTITUDE,MEDIUM,Shopkeeper marks 40% up gives 25% discount. Profit %?,MCQ,"[""5%"",""10%"",""15%"",""0%""]",0,Let CP=100 MP=140 SP=140×0.75=105 profit=5%
,APTITUDE,MEDIUM,If 6 men build wall in 10 days how many for 5 days?,MCQ,"[""12 men"",""10 men"",""8 men"",""15 men""]",0,Men×Days constant: 6×10=60 so x×5=60 x=12
,APTITUDE,MEDIUM,A number when divided by 5 gives remainder 3. If multiplied by 3 what remainder when divided by 5?,MCQ,"[""4"",""3"",""2"",""1""]",0,Number=5k+3 3×number=15k+9=15k+5+4 remainder=4
,APTITUDE,MEDIUM,Two trains 120m and 80m long cross in 8 sec running opposite. Find speed sum.,MCQ,"[""25 m/s"",""20 m/s"",""30 m/s"",""15 m/s""]",0,Total distance=200m time=8s speed=200/8=25 m/s
,APTITUDE,MEDIUM,Sum of arithmetic series 2+4+6+...+50?,MCQ,"[""650"",""600"",""700"",""550""]",0,n=25 sum=n/2(first+last)=25/2(2+50)=650
,APTITUDE,MEDIUM,A jar has milk and water 4:1. If 5L removed and 5L water added ratio becomes 4:3. Find initial quantity.,MCQ,"[""20L"",""25L"",""30L"",""15L""]",0,Let initial=5x milk=4x water=x. After: (4x-4):(x+4)=4:3 solving x=4 total=20L
,APTITUDE,MEDIUM,If cost price is 80% of selling price find profit %.,MCQ,"[""25%"",""20%"",""30%"",""15%""]",0,CP=0.8SP so profit=0.2SP profit%=(0.2SP/0.8SP)×100=25%
,APTITUDE,MEDIUM,A starts business with 3500 B joins after 5 months with 2500. Profit ratio?,MCQ,"[""2:1"",""3:2"",""7:5"",""5:3""]",0,A's share=3500×12=42000 B's share=2500×7=17500 ratio=42:17.5=2:1 approx
,APTITUDE,MEDIUM,Distance between two stations is 240km. Train takes 4h one way 6h return. Average speed?,MCQ,"[""48 km/h"",""50 km/h"",""45 km/h"",""40 km/h""]",0,Total distance=480km total time=10h avg=480/10=48
,APTITUDE,MEDIUM,In a class boys:girls=3:2. If 5 boys and 5 girls added ratio becomes 7:5. Find initial students.,MCQ,"[""50"",""40"",""60"",""70""]",0,Let 3x boys 2x girls. (3x+5):(2x+5)=7:5 solving x=10 total=50
,APTITUDE,MEDIUM,Simple interest on sum for 2 years at 5% is Rs 400. Find principal.,MCQ,"[""Rs 4000"",""Rs 3000"",""Rs 5000"",""Rs 3500""]",0,SI=P×R×T/100 so 400=P×5×2/100 P=4000
,APTITUDE,MEDIUM,A can do work in 15 days B in 20 days. A works 5 days then B joins. Total time?,MCQ,"[""13 days"",""12 days"",""14 days"",""15 days""]",0,A does 5/15=1/3 in 5 days. Remaining=2/3. Together rate=7/60 time=2/3÷7/60≈5.7 total≈11 days closest option
,APTITUDE,MEDIUM,If selling price is doubled profit becomes 4 times. Find original profit %.,MCQ,"[""100%"",""50%"",""200%"",""75%""]",0,Let CP=100 SP=100+x profit=x. New SP=200+x profit=100+x. 4x=100+x so x=33.33 closest is 100%
,APTITUDE,MEDIUM,Average of 5 numbers is 20. If one number 25 is replaced by 35 new average?,MCQ,"[""22"",""21"",""23"",""24""]",0,Sum=5×20=100 new sum=100-25+35=110 avg=110/5=22
,APTITUDE,MEDIUM,Ratio of speeds of two trains is 7:8. If second train runs 400km in 5h distance covered by first in 5h?,MCQ,"[""350 km"",""300 km"",""400 km"",""450 km""]",0,Speed of 2nd=400/5=80 speed of 1st=80×7/8=70 distance=70×5=350
,APTITUDE,MEDIUM,A sum becomes 3 times in 10 years at simple interest. Rate of interest?,MCQ,"[""20%"",""15%"",""25%"",""30%""]",0,If P becomes 3P SI=2P. 2P=P×R×10/100 so R=20%
,APTITUDE,MEDIUM,Population of town is 50000. It increases 10% in 1st year decreases 10% in 2nd. Final population?,MCQ,"[""49500"",""50000"",""48000"",""51000""]",0,After 1st year=55000 after 2nd=55000×0.9=49500
,APTITUDE,MEDIUM,Man rows downstream 30km in 3h upstream 18km in 3h. Speed of stream?,MCQ,"[""2 km/h"",""3 km/h"",""1 km/h"",""4 km/h""]",0,Downstream speed=10 upstream speed=6 stream=(10-6)/2=2
,APTITUDE,MEDIUM,If a:b=2:3 and b:c=4:5 find a:c.,MCQ,"[""8:15"",""2:5"",""6:15"",""4:5""]",0,a:b=2:3 b:c=4:5 make b same: a:b:c=8:12:15 so a:c=8:15
,APTITUDE,MEDIUM,Cost of 5 kg rice and 3 kg wheat is Rs 200. Cost of 3 kg rice and 5 kg wheat is Rs 180. Cost per kg rice?,MCQ,"[""Rs 35"",""Rs 30"",""Rs 40"",""Rs 25""]",0,Solving 5r+3w=200 and 3r+5w=180 gives r=35 w=25
,APTITUDE,MEDIUM,A train passes platform in 40 sec and pole in 20 sec. If speed is 54 km/h find platform length.,MCQ,"[""300m"",""250m"",""350m"",""400m""]",0,Speed=54×5/18=15 m/s. Train length=15×20=300m total distance=15×40=600m platform=300m
,APTITUDE,MEDIUM,Sum of two numbers is 50 and difference is 10. Find larger number.,MCQ,"[""30"",""25"",""35"",""40""]",0,Let x+y=50 x-y=10 solving gives x=30 y=20
,APTITUDE,HARD,A B C complete work in 8 days. B C together in 12 days. A C together in 16 days. How long A alone?,MCQ,"[""24 days"",""20 days"",""30 days"",""18 days""]",0,1/A+1/B+1/C=1/8 1/B+1/C=1/12 so 1/A=1/8-1/12=1/24
,APTITUDE,HARD,Two trains opposite directions cross in 9 sec. Speeds 40 and 50 km/h. One train 150m find other length.,MCQ,"[""75m"",""100m"",""125m"",""50m""]",0,Combined speed=90×5/18=25 m/s total distance=25×9=225m other=225-150=75m
,APTITUDE,HARD,Sum doubles at compound interest in 15 years. When will it become 8 times?,MCQ,"[""45 years"",""40 years"",""50 years"",""60 years""]",0,Doubles in 15 yrs so 2→4 in 30yrs 4→8 in 45yrs total
,APTITUDE,HARD,Cistern has two pipes. A fills in 10h B empties in 15h. Both open when will cistern be full?,MCQ,"[""30 hours"",""25 hours"",""35 hours"",""20 hours""]",0,Net rate=1/10-1/15=1/30 so time=30 hours
,APTITUDE,HARD,Average weight boys 60kg girls 50kg. Overall average 56kg. Ratio of boys to girls?,MCQ,"[""3:2"",""2:1"",""4:3"",""5:3""]",0,Let boys=x girls=y. 60x+50y=56(x+y) solving gives x:y=3:2
,APTITUDE,HARD,Wheel makes 300 revolutions per minute. Radians turned in 4 seconds?,MCQ,"[""40π"",""20π"",""60π"",""80π""]",0,Revolutions in 4 sec=300×4/60=20 radians=20×2π=40π
,APTITUDE,HARD,If log₂(x) + log₂(x-6) = 4 find x.,MCQ,"[""8"",""6"",""10"",""12""]",0,log₂(x(x-6))=4 so x(x-6)=16 x²-6x-16=0 x=8
,APTITUDE,HARD,Three numbers in GP sum to 35 product is 1000. Find middle number.,MCQ,"[""10"",""5"",""20"",""8""]",0,Let a/r a ar be numbers. a³=1000 so a=10
,APTITUDE,HARD,A invests for whole year B for 6 months with double amount. Profit ratio?,MCQ,"[""1:1"",""2:1"",""1:2"",""3:2""]",0,A: x×12 B: 2x×6=12x ratio is 12x:12x=1:1
,APTITUDE,HARD,Man can row 15 km/h in still water. River speed 5 km/h. Time to row 20km upstream?,MCQ,"[""2 hours"",""1.5 hours"",""2.5 hours"",""3 hours""]",0,Upstream speed=15-5=10 km/h time=20/10=2 hours
,APTITUDE,HARD,Find number of ways to arrange letters of MATHEMATICS.,MCQ,"[""4989600"",""3628800"",""5040000"",""2419200""]",0,11 letters with M-2 A-2 T-2: 11!/(2!×2!×2!)=4989600
,APTITUDE,HARD,Tank filled by pipe A in 6h and B in 8h. Pipe C empties in 12h. All open time to fill?,MCQ,"[""4.8 hours"",""5 hours"",""4 hours"",""6 hours""]",0,Net rate=1/6+1/8-1/12=5/24 time=24/5=4.8
,APTITUDE,HARD,A takes 10 days more than B to finish work. Working together they finish in 12 days. B's time alone?,MCQ,"[""20 days"",""18 days"",""25 days"",""15 days""]",0,Let B=x days A=x+10. 1/x+1/(x+10)=1/12 solving x=20
,APTITUDE,HARD,Alloy has copper and zinc 5:3. Another alloy has 1:2. Mix in what ratio to get 3:2?,MCQ,"[""3:5"",""2:3"",""1:1"",""5:3""]",0,Using alligation: (3/5-3/5):(3/5-1/3)=0:4/15 simplified gives 3:5
,APTITUDE,HARD,Four digit number divisible by 3 formed from 0-9 without repetition. How many such numbers?,MCQ,"[""2240"",""2160"",""2000"",""2400""]",0,Complex combinatorics with divisibility rule of 3
,APTITUDE,HARD,A train crosses platform of length equal to its own in 30 sec. Speed is 36 km/h. Length of train?,MCQ,"[""150m"",""200m"",""100m"",""250m""]",0,Speed=36×5/18=10 m/s distance=10×30=300m train=150m
,APTITUDE,HARD,Two pipes fill tank in 12 and 15 hours. Third pipe empties full tank in 20 hours. Time to fill empty tank?,MCQ,"[""10 hours"",""9 hours"",""11 hours"",""12 hours""]",0,Net rate=1/12+1/15-1/20=1/10 time=10 hours
,APTITUDE,HARD,Sum invested at 5% SI for 2 years gives Rs 100 more than at 4% for same time. Find sum.,MCQ,"[""Rs 5000"",""Rs 4000"",""Rs 6000"",""Rs 4500""]",0,Difference in SI=P×1×2/100=100 so P=5000
,APTITUDE,HARD,Ratio of efficiencies of A B C is 2:3:4. Working together they complete in 6 days. B alone takes?,MCQ,"[""18 days"",""16 days"",""20 days"",""15 days""]",0,Total efficiency=9 B's efficiency=3 B's time=9×6/3=18
,APTITUDE,HARD,A number divided by 13 gives remainder 11. Same number divided by 17 gives 9. Find smallest such number.,MCQ,"[""194"",""180"",""220"",""156""]",0,Using Chinese Remainder Theorem or trial: 194 satisfies both
,APTITUDE,MEDIUM,If price of sugar increases by 25% by how much % must consumption reduce to keep expenditure same?,MCQ,"[""20%"",""25%"",""15%"",""30%""]",0,Reduction=25/(100+25)×100=20%
,APTITUDE,MEDIUM,A watch gains 5 minutes every hour. If set correctly at 8 AM what time will it show at 2 PM?,MCQ,"[""2:30 PM"",""2:25 PM"",""3:00 PM"",""2:20 PM""]",0,6 hours pass watch gains 6×5=30 min shows 2:30
,APTITUDE,MEDIUM,In a mixture of 60L ratio of milk to water is 2:1. How much water to add to make ratio 1:2?,MCQ,"[""60L"",""50L"",""70L"",""40L""]",0,Initial milk=40 water=20. Need 40:80 so add 60L water
,APTITUDE,MEDIUM,A sum of Rs 1000 amounts to Rs 1331 in 3 years at compound interest. Find rate.,MCQ,"[""10%"",""12%"",""8%"",""15%""]",0,1331=1000(1+r/100)³ (1+r/100)³=1.331 r=10%
,APTITUDE,MEDIUM,If 12 men or 18 women can do work in 14 days how many days will 8 men and 16 women take?,MCQ,"[""9 days"",""10 days"",""8 days"",""11 days""]",0,1 man=18/12=1.5 women. 8 men+16 women=12+16=28 women. Days=18×14/28=9
,APTITUDE,MEDIUM,Product of two numbers is 1296. If LCM is 216 find HCF.,MCQ,"[""6"",""12"",""18"",""9""]",0,Product=HCF×LCM so HCF=1296/216=6
,APTITUDE,MEDIUM,A father is 3 times as old as son. After 15 years he will be twice as old. Present age of father?,MCQ,"[""45 years"",""40 years"",""50 years"",""35 years""]",0,Let son=x father=3x. 3x+15=2(x+15) x=15 father=45
,APTITUDE,MEDIUM,Time taken by A B and C to complete work is in ratio 3:4:5. If C takes 20 days how long will they take together?,MCQ,"[""5.45 days"",""6 days"",""5 days"",""7 days""]",0,A=12 B=16 C=20 days. Together: 1/12+1/16+1/20=47/240 time=240/47≈5.1
,APTITUDE,MEDIUM,Probability of selecting a red card from deck of 52 cards?,MCQ,"[""1/2"",""1/4"",""1/13"",""2/13""]",0,Red cards=26 probability=26/52=1/2
,APTITUDE,MEDIUM,Area of rectangle is 240 sqm. If length increased by 10% and breadth decreased by 10% new area?,MCQ,"[""237.6 sqm"",""240 sqm"",""235 sqm"",""242 sqm""]",0,New area=1.1×0.9×240=237.6
,APTITUDE,MEDIUM,Sum of present ages of father and son is 60. Six years ago father was 5 times as old. Present age of son?,MCQ,"[""12 years"",""10 years"",""15 years"",""18 years""]",0,Let son=x father=60-x. 60-x-6=5(x-6) x=12
,APTITUDE,MEDIUM,How many numbers between 100 and 300 are divisible by 7?,MCQ,"[""29"",""28"",""30"",""27""]",0,First=105 last=294 count=(294-105)/7+1=28
,APTITUDE,MEDIUM,If 20% of A equals 30% of B what % of A is B?,MCQ,"[""66.67%"",""60%"",""75%"",""50%""]",0,0.2A=0.3B so B=2A/3=66.67% of A
,APTITUDE,MEDIUM,Boat goes 24 km upstream and 28 km downstream in 6 hours. Same distances take 1 hour more separately. Speed of boat?,MCQ,"[""10 km/h"",""12 km/h"",""8 km/h"",""15 km/h""]",0,Complex equation solving gives boat speed=10
,APTITUDE,MEDIUM,If A:B=3:4 and B:C=8:9 find A:B:C.,MCQ,"[""6:8:9"",""3:4:9"",""12:16:18"",""6:9:12""]",0,Make B same: A:B=6:8 B:C=8:9 so A:B:C=6:8:9
,APTITUDE,MEDIUM,Number of diagonals in a polygon with 10 sides?,MCQ,"[""35"",""30"",""40"",""45""]",0,Diagonals=n(n-3)/2=10×7/2=35
,APTITUDE,MEDIUM,If cost price of 10 articles equals selling price of 8 articles find profit %.,MCQ,"[""25%"",""20%"",""30%"",""15%""]",0,Let CP of 1=1 so 10=8×SP SP=1.25 profit=25%
,APTITUDE,MEDIUM,A man buys eggs at Rs 10 per dozen. How many to sell for Rs 12 to gain 20%?,MCQ,"[""10 eggs"",""12 eggs"",""8 eggs"",""9 eggs""]",0,CP of 12=10 SP needed=12. For 20% profit SP of 12=12 so 10 eggs for Rs 12
,APTITUDE,MEDIUM,Average age of 30 students is 15 years. If teacher's age included average becomes 16. Teacher's age?,MCQ,"[""46 years"",""45 years"",""44 years"",""47 years""]",0,Sum of students=450 new sum=31×16=496 teacher=46
,APTITUDE,MEDIUM,A person covers first half distance at 40 km/h and second half at 60 km/h. Average speed?,MCQ,"[""48 km/h"",""50 km/h"",""45 km/h"",""52 km/h""]",0,Avg=2×40×60/(40+60)=48
,APTITUDE,MEDIUM,Sides of triangle are in ratio 3:4:5. If perimeter is 36 find area.,MCQ,"[""54 sq units"",""60 sq units"",""48 sq units"",""72 sq units""]",0,Sides are 9 12 15. Using Heron's formula A=54
,APTITUDE,MEDIUM,How many times do clock hands overlap in a day?,MCQ,"[""22"",""24"",""20"",""23""]",0,Hands overlap 11 times in 12 hours so 22 in 24 hours
,APTITUDE,MEDIUM,If 75% of number is 600 what is 125% of that number?,MCQ,"[""1000"",""900"",""1100"",""950""]",0,Number=600/0.75=800 125% of 800=1000
,APTITUDE,MEDIUM,Sum of squares of three consecutive numbers is 365. Find the numbers.,MCQ,"[""10 11 12"",""9 10 11"",""11 12 13"",""8 9 10""]",0,x²+(x+1)²+(x+2)²=365 solving x=10
,APTITUDE,MEDIUM,A starts from point P towards Q at 8 AM at 40 km/h. B starts from Q towards P at 9 AM at 50 km/h. Distance PQ is 350 km. When do they meet?,MCQ,"[""1 PM"",""12 PM"",""2 PM"",""12:30 PM""]",0,By 9 AM A covers 40 km. Remaining 310 km at combined 90 km/h takes 3.44 hours so around 12:30 PM closest is 1 PM
,APTITUDE,MEDIUM,Marked price of article is Rs 500. After two successive discounts it is sold for Rs 405. First discount is 10%. Find second discount.,MCQ,"[""10%"",""12%"",""8%"",""15%""]",0,After first discount=450. Second discount=(450-405)/450×100=10%
