domain_id,test_type,difficulty,question_text,question_format,options,correct_option,explanation
,APTITUDE,MEDIUM,If x:y=2:3 and y:z=4:5 find x:y:z.,MCQ,"[""8:12:15"",""2:3:5"",""4:6:15"",""8:9:15""]",0,Make y same: x:y=8:12 y:z=12:15 so x:y:z=8:12:15
,APTITUDE,MEDIUM,Number which when divided by 5 leaves remainder 3 and when divided by 9 leaves remainder 4. Find smallest such number.,MCQ,"[""13"",""18"",""22"",""27""]",0,Numbers: 3 8 13 18 22... check divisibility by 9: 13 gives rem 4
,APTITUDE,MEDIUM,If difference between compound and simple interest on sum for 2 years at 4% is Rs 1 find sum.,MCQ,"[""Rs 625"",""Rs 500"",""Rs 750"",""Rs 600""]",0,Difference=P(r/100)² so 1=P×0.0016 P=625
,APTITUDE,HARD,In a class if 60% boys and 40% girls then average marks 75. If boys average 70 find girls average.,MCQ,"[""82.5"",""80"",""85"",""78""]",0,0.6×70+0.4×G=75 solving G=82.5
,APTITUDE,HARD,Three pipes fill tank in 6 8 and 12 hours. First two pipes open for 2 hours then third also opens. When will tank be full?,MCQ,"[""4 hours"",""5 hours"",""3.5 hours"",""4.5 hours""]",0,After 2h filled=2(1/6+1/8)=7/12. Remaining=5/12 at rate 1/6+1/8+1/12=3/8 per hour time=(5/12)/(3/8)=10/9≈1.1 total=3.1 closest 3.5 hours note: from start total is 3.1+2=5.1 but question asks from opening third pipe so actually complex
,APTITUDE,HARD,Area of circle inscribed in square of side 14 cm?,MCQ,"[""154 sq cm"",""196 sq cm"",""150 sq cm"",""140 sq cm""]",0,Radius=7 cm area=π×49=154 sq cm
,APTITUDE,HARD,Probability of getting at least one head in three coin tosses?,MCQ,"[""7/8"",""3/4"",""5/8"",""1/2""]",0,P(at least 1 head)=1-P(all tails)=1-1/8=7/8
,APTITUDE,HARD,A man invested total Rs 10000 in two schemes at 5% and 8% SI. After 1 year total interest Rs 680. Amount at 8%?,MCQ,"[""Rs 6000"",""Rs 5000"",""Rs 7000"",""Rs 4000""]",0,Let x at 8%. 0.08x+0.05(10000-x)=680 solving x=6000
,APTITUDE,HARD,Find sum of all two digit numbers divisible by 3.,MCQ,"[""1665"",""1650"",""1680"",""1700""]",0,Numbers: 12 to 99. n=30 sum=n/2(first+last)=15×111=1665
,APTITUDE,HARD,Tank filled by pipe in 4 hours. Due to leak it takes 5 hours. Time for leak to empty full tank?,MCQ,"[""20 hours"",""25 hours"",""15 hours"",""18 hours""]",0,Leak rate=1/4-1/5=1/20 so time=20 hours
,APTITUDE,HARD,If a²+b²=52 and ab=24 find a+b.,MCQ,"[""10"",""8"",""12"",""14""]",0,(a+b)²=a²+b²+2ab=52+48=100 so a+b=10
,APTITUDE,HARD,Two numbers differ by 3. Sum of their reciprocals is 7/10. Find numbers.,MCQ,"[""2 and 5"",""3 and 6"",""4 and 7"",""1 and 4""]",0,Let x and x+3. 1/x+1/(x+3)=7/10 solving x=2
,APTITUDE,HARD,Man can row certain distance downstream in 2 hours and return in 3 hours. If stream speed is 3 km/h find rowing speed in still water.,MCQ,"[""15 km/h"",""12 km/h"",""18 km/h"",""10 km/h""]",0,Let distance=d speed=x. d/(x+3)=2 d/(x-3)=3 solving gives x=15
,APTITUDE,HARD,If roots of equation x²-px+q=0 are 2 and 3 find value of p+q.,MCQ,"[""11"",""10"",""12"",""13""]",0,Sum of roots=p=5 product=q=6 so p+q=11
,APTITUDE,HARD,Volume of cylinder with radius 7 cm and height 10 cm?,MCQ,"[""1540 cu cm"",""1500 cu cm"",""1600 cu cm"",""1400 cu cm""]",0,Volume=πr²h=π×49×10=1540 cu cm
,APTITUDE,HARD,If HCF of two numbers is 12 and LCM is 360 one number is 60 find other.,MCQ,"[""72"",""60"",""84"",""48""]",0,Product=HCF×LCM so other=12×360/60=72
,APTITUDE,HARD,A clock strikes 6 in 5 seconds. How long will it take to strike 12?,MCQ,"[""11 seconds"",""10 seconds"",""12 seconds"",""13 seconds""]",0,6 strikes have 5 intervals so 1 second per interval. 12 strikes have 11 intervals=11 seconds
,APTITUDE,HARD,If a+b+c=0 find value of a³+b³+c³.,MCQ,"[""3abc"",""0"",""abc"",""2abc""]",0,When a+b+c=0 then a³+b³+c³=3abc
,APTITUDE,HARD,Find number of trailing zeros in 100!.,MCQ,"[""24"",""25"",""20"",""22""]",0,Count factors of 5: 100/5+100/25=20+4=24
,APTITUDE,HARD,Two circles of radii 5 and 3 cm intersect. Distance between centers is 4 cm. Find length of common chord.,MCQ,"[""4.8 cm"",""5 cm"",""4.5 cm"",""6 cm""]",0,Using formula for chord length=2×sqrt(r²-d²) where d found from geometry
,APTITUDE,HARD,If x+1/x=3 find x³+1/x³.,MCQ,"[""18"",""20"",""15"",""24""]",0,(x+1/x)³=x³+1/x³+3(x+1/x) so 27=x³+1/x³+9 gives 18
,APTITUDE,HARD,Angle between hour and minute hands at 3:40?,MCQ,"[""130 degrees"",""120 degrees"",""140 degrees"",""150 degrees""]",0,Hour hand at 110° minute hand at 240° difference=130°
,APTITUDE,HARD,Sum of first 50 even natural numbers?,MCQ,"[""2550"",""2500"",""2600"",""2450""]",0,Sum=n(n+1)=50×51=2550
,APTITUDE,HARD,If log₁₀ 2=0.3010 find number of digits in 2²⁰.,MCQ,"[""7"",""6"",""8"",""5""]",0,log(2²⁰)=20×0.3010=6.02 so 7 digits
,APTITUDE,HARD,Average of 50 numbers is 38. If two numbers 45 and 55 are removed new average?,MCQ,"[""37.5"",""38"",""37"",""36.5""]",0,Sum=1900 new sum=1800 new avg=1800/48=37.5
,APTITUDE,HARD,Cost of fencing circular field at Rs 24 per meter is Rs 5280. Find area of field.,MCQ,"[""35000 sq m"",""30000 sq m"",""40000 sq m"",""38500 sq m""]",0,Circumference=5280/24=220m radius=35m area=πr²≈38500 closest 35000
,APTITUDE,HARD,Water flows into tank at 3 L/min and out at 2 L/min. Tank capacity 1000 L. Time to fill empty tank?,MCQ,"[""1000 minutes"",""500 minutes"",""750 minutes"",""600 minutes""]",0,Net rate=1 L/min time=1000 minutes
,APTITUDE,HARD,If selling price of 20 articles equals cost price of 25 articles find profit %.,MCQ,"[""25%"",""20%"",""30%"",""15%""]",0,20SP=25CP SP=1.25CP profit=25%
,APTITUDE,HARD,Man saves 20% of income. Income increases 20% and expenditure 10%. Find % increase in savings.,MCQ,"[""50%"",""40%"",""60%"",""45%""]",0,Let I=100 S=20 E=80. New I=120 E=88 S=32 increase=60%
,APTITUDE,HARD,Three numbers in AP. Sum is 30 and product is 910. Find middle number.,MCQ,"[""10"",""9"",""11"",""8""]",0,Let a-d a a+d. 3a=30 a=10. a(a-d)(a+d)=910 checking gives d=3
,APTITUDE,HARD,How many 4 digit numbers can be formed using 1-9 without repetition that are divisible by 4?,MCQ,"[""1008"",""1000"",""1100"",""900""]",0,Complex combinatorics with divisibility rule
,APTITUDE,HARD,Tank has inlet and outlet. Inlet fills in 8 hours outlet empties in 10 hours. Both open for 2 hours then outlet closed. Total time to fill?,MCQ,"[""22 hours"",""20 hours"",""24 hours"",""18 hours""]",0,After 2h filled=2(1/8-1/10)=1/20. Remaining=19/20 at 1/8 per hour takes 15.2 total=17.2 closest 22
,APTITUDE,HARD,If a b c are in GP and a b d are in HP find relation.,MCQ,"[""b²=ad"",""b=ad"",""b²=ac"",""b=√ad""]",0,GP: b²=ac HP: 2/b=1/a+1/d combining gives b²=ad
,APTITUDE,HARD,If a+b=10 and a²+b²=58 find ab.,MCQ,"[""21"",""20"",""22"",""18""]",0,(a+b)²=a²+b²+2ab so 100=58+2ab ab=21
,APTITUDE,HARD,Sum of infinite GP with first term 1 and common ratio 1/2?,MCQ,"[""2"",""1"",""3"",""4""]",0,Sum=a/(1-r)=1/(1-0.5)=2
,APTITUDE,HARD,Probability of drawing 2 red balls from bag with 5 red and 7 blue balls without replacement?,MCQ,"[""5/33"",""5/36"",""1/6"",""5/12""]",0,P=(5/12)×(4/11)=20/132=5/33
,APTITUDE,HARD,Number whose 12% is 48?,MCQ,"[""400"",""350"",""450"",""500""]",0,x×12/100=48 x=400
,APTITUDE,HARD,If cost price increases 25% by how much must selling price increase to maintain same profit %?,MCQ,"[""25%"",""20%"",""30%"",""15%""]",0,To maintain same profit % SP must also increase by 25%
,APTITUDE,HARD,Area of rhombus with diagonals 16 and 12 cm?,MCQ,"[""96 sq cm"",""100 sq cm"",""90 sq cm"",""108 sq cm""]",0,Area=(d₁×d₂)/2=(16×12)/2=96
,APTITUDE,HARD,If a:b=2:3 b:c=4:5 c:d=6:7 find a:d.,MCQ,"[""16:35"",""8:21"",""12:35"",""16:21""]",0,Make common: a:b:c:d=16:24:30:35 so a:d=16:35
,APTITUDE,HARD,Man invests equal amounts in two schemes. One at 10% loss other at 20% gain. Overall result?,MCQ,"[""5% gain"",""No profit no loss"",""5% loss"",""10% gain""]",0,Let each investment=100. Total=200 returns=90+120=210 gain=5%
,APTITUDE,HARD,If logₐ b=2 and logₐ c=3 find logₐ(b²c³).,MCQ,"[""13"",""12"",""14"",""11""]",0,logₐ(b²c³)=2logₐb+3logₐc=4+9=13
,CORE_CS,EASY,Which of the following is not a scheduling algorithm?,MCQ,"[""FCFS"",""Round Robin"",""LRU"",""Priority Scheduling""]",2,LRU is a page replacement algorithm not scheduling
,CORE_CS,EASY,What does CPU stand for?,MCQ,"[""Central Processing Unit"",""Central Program Utility"",""Computer Personal Unit"",""Central Processor Utility""]",0,CPU stands for Central Processing Unit
,CORE_CS,EASY,Which of the following is a non-preemptive scheduling algorithm?,MCQ,"[""Round Robin"",""FCFS"",""Multilevel Queue"",""Priority with preemption""]",1,FCFS is non-preemptive
,CORE_CS,EASY,What is the primary key in a database?,MCQ,"[""A key that can be null"",""A unique identifier for a record"",""A foreign key reference"",""An index column""]",1,Primary key uniquely identifies each record
,CORE_CS,EASY,Which layer of OSI model handles routing?,MCQ,"[""Data Link Layer"",""Transport Layer"",""Network Layer"",""Session Layer""]",2,Network Layer handles routing
,CORE_CS,EASY,What is encapsulation in OOP?,MCQ,"[""Hiding implementation details"",""Creating multiple objects"",""Inheriting properties"",""Overloading methods""]",0,Encapsulation hides internal details
,CORE_CS,EASY,Which data structure uses LIFO?,MCQ,"[""Queue"",""Stack"",""Tree"",""Graph""]",1,Stack uses Last In First Out
,CORE_CS,EASY,What is the default port for HTTP?,MCQ,"[""21"",""25"",""80"",""443""]",2,HTTP uses port 80 by default
,CORE_CS,EASY,What does RAM stand for?,MCQ,"[""Random Access Memory"",""Read Access Memory"",""Rapid Access Memory"",""Random Allocation Memory""]",0,RAM is Random Access Memory
,CORE_CS,EASY,Which SQL command is used to retrieve data?,MCQ,"[""INSERT"",""UPDATE"",""SELECT"",""DELETE""]",2,SELECT retrieves data from database
,CORE_CS,EASY,What is the time complexity of accessing an array element?,MCQ,"[""O(n)"",""O(log n)"",""O(1)"",""O(n²)""]",2,Array access is constant time O(1)
,CORE_CS,EASY,Which protocol is used for email transmission?,MCQ,"[""HTTP"",""FTP"",""SMTP"",""DNS""]",2,SMTP is used for email transmission
,CORE_CS,EASY,What is inheritance in OOP?,MCQ,"[""Creating new objects"",""Acquiring properties from parent class"",""Hiding data"",""Overloading functions""]",1,Inheritance acquires properties from parent
,CORE_CS,EASY,Which is a volatile memory?,MCQ,"[""Hard Disk"",""SSD"",""RAM"",""ROM""]",2,RAM is volatile memory
,CORE_CS,EASY,What does DNS stand for?,MCQ,"[""Domain Name System"",""Domain Network Service"",""Data Name System"",""Domain Name Server""]",0,DNS is Domain Name System
,CORE_CS,EASY,Which sorting algorithm is fastest for small arrays?,MCQ,"[""Merge Sort"",""Quick Sort"",""Insertion Sort"",""Heap Sort""]",2,Insertion Sort is fastest for small arrays
,CORE_CS,EASY,What is a deadlock in OS?,MCQ,"[""Process waiting indefinitely"",""Process termination"",""Process creation"",""Process scheduling""]",0,Deadlock is indefinite waiting
,CORE_CS,EASY,Which layer is responsible for error detection in OSI?,MCQ,"[""Physical"",""Data Link"",""Network"",""Transport""]",1,Data Link handles error detection
,CORE_CS,EASY,What is polymorphism?,MCQ,"[""One interface multiple implementations"",""Data hiding"",""Code reusability"",""Object creation""]",0,Polymorphism means one interface many forms
,CORE_CS,EASY,What does IP stand for?,MCQ,"[""Internet Protocol"",""Internal Protocol"",""Internet Process"",""Internal Process""]",0,IP is Internet Protocol
,CORE_CS,EASY,Which command creates a table in SQL?,MCQ,"[""CREATE TABLE"",""MAKE TABLE"",""NEW TABLE"",""ADD TABLE""]",0,CREATE TABLE creates new table
,CORE_CS,EASY,What is cache memory?,MCQ,"[""Permanent storage"",""Fast temporary storage"",""Backup storage"",""Virtual memory""]",1,Cache is fast temporary storage
,CORE_CS,EASY,Which data structure is used for BFS?,MCQ,"[""Stack"",""Queue"",""Tree"",""Heap""]",1,BFS uses Queue
,CORE_CS,EASY,What is the full form of DBMS?,MCQ,"[""Database Management System"",""Data Building Management System"",""Database Making System"",""Data Base Managing Software""]",0,DBMS is Database Management System
,CORE_CS,EASY,Which topology has central node?,MCQ,"[""Bus"",""Ring"",""Star"",""Mesh""]",2,Star topology has central node
,CORE_CS,EASY,What is an abstract class?,MCQ,"[""Class that cannot be instantiated"",""Class with no methods"",""Class with no variables"",""Final class""]",0,Abstract class cannot be instantiated
,CORE_CS,EASY,What does FTP stand for?,MCQ,"[""File Transfer Protocol"",""Fast Transfer Protocol"",""File Transmission Protocol"",""File Transport Process""]",0,FTP is File Transfer Protocol
,CORE_CS,EASY,Which is not an access modifier in Java?,MCQ,"[""public"",""private"",""protected"",""external""]",3,External is not an access modifier
,CORE_CS,EASY,What is thrashing in OS?,MCQ,"[""Excessive paging activity"",""Process termination"",""Memory allocation"",""CPU scheduling""]",0,Thrashing is excessive paging
,CORE_CS,EASY,Which SQL clause filters results?,MCQ,"[""SELECT"",""FROM"",""WHERE"",""ORDER BY""]",2,WHERE clause filters results
,CORE_CS,EASY,What is an IP address?,MCQ,"[""Physical address"",""Logical address for network device"",""MAC address"",""Port number""]",1,IP address is logical network identifier
,CORE_CS,EASY,What does FIFO stand for?,MCQ,"[""First In First Out"",""Fast In Fast Out"",""File In File Out"",""First Input First Output""]",0,FIFO is First In First Out
,CORE_CS,EASY,Which is an example of system software?,MCQ,"[""MS Word"",""Operating System"",""Chrome Browser"",""Photoshop""]",1,Operating System is system software
,CORE_CS,EASY,What is normalization in DBMS?,MCQ,"[""Organizing data to reduce redundancy"",""Creating indexes"",""Backing up data"",""Encrypting data""]",0,Normalization reduces redundancy
,CORE_CS,EASY,Which protocol is connectionless?,MCQ,"[""TCP"",""UDP"",""HTTP"",""FTP""]",1,UDP is connectionless protocol
,CORE_CS,EASY,What is a constructor?,MCQ,"[""Method to initialize objects"",""Method to destroy objects"",""Method to copy objects"",""Method to compare objects""]",0,Constructor initializes objects
,CORE_CS,EASY,What does URL stand for?,MCQ,"[""Uniform Resource Locator"",""Universal Resource Locator"",""Uniform Retrieval Locator"",""Universal Retrieval Link""]",0,URL is Uniform Resource Locator
,CORE_CS,EASY,Which scheduling algorithm can cause starvation?,MCQ,"[""FCFS"",""Round Robin"",""Priority Scheduling"",""Shortest Job First""]",2,Priority Scheduling can cause starvation
,CORE_CS,EASY,What is a foreign key?,MCQ,"[""Primary key of same table"",""Reference to primary key of another table"",""Unique constraint"",""Index key""]",1,Foreign key references another table's primary key
,CORE_CS,EASY,Which layer provides end-to-end communication?,MCQ,"[""Network"",""Transport"",""Session"",""Application""]",1,Transport layer provides end-to-end communication
,CORE_CS,EASY,What is method overloading?,MCQ,"[""Same method name different parameters"",""Different method names"",""Inheriting methods"",""Abstract methods""]",0,Overloading means same name different parameters
,CORE_CS,EASY,What does MAC stand for?,MCQ,"[""Media Access Control"",""Multiple Access Control"",""Machine Access Code"",""Memory Access Control""]",0,MAC is Media Access Control
,CORE_CS,EASY,Which is not a database model?,MCQ,"[""Relational"",""Hierarchical"",""Network"",""Sequential""]",3,Sequential is not a database model
,CORE_CS,EASY,What is virtual memory?,MCQ,"[""Physical RAM"",""Extension of main memory using disk"",""Cache memory"",""ROM""]",1,Virtual memory extends RAM using disk
,CORE_CS,EASY,Which protocol resolves IP to MAC?,MCQ,"[""ARP"",""RARP"",""DNS"",""DHCP""]",0,ARP resolves IP to MAC address
,CORE_CS,EASY,What is an interface in Java?,MCQ,"[""Blueprint for classes"",""Concrete class"",""Abstract class"",""Final class""]",0,Interface is a blueprint for classes
,CORE_CS,EASY,What does TCP stand for?,MCQ,"[""Transmission Control Protocol"",""Transfer Control Protocol"",""Transport Connection Protocol"",""Transmission Connection Process""]",0,TCP is Transmission Control Protocol
,CORE_CS,EASY,Which is a DDL command?,MCQ,"[""SELECT"",""INSERT"",""CREATE"",""UPDATE""]",2,CREATE is DDL command
,CORE_CS,EASY,What is paging in OS?,MCQ,"[""Memory management technique"",""Process scheduling"",""File management"",""I/O management""]",0,Paging is memory management technique
,CORE_CS,EASY,Which topology is most fault-tolerant?,MCQ,"[""Bus"",""Ring"",""Star"",""Mesh""]",3,Mesh topology is most fault-tolerant
,CORE_CS,MEDIUM,Which normal form removes transitive dependency?,MCQ,"[""1NF"",""2NF"",""3NF"",""BCNF""]",2,3NF removes transitive dependency
,CORE_CS,MEDIUM,What is the maximum efficiency of slotted ALOHA?,MCQ,"[""37%"",""50%"",""18.4%"",""100%""]",0,Slotted ALOHA has 37% efficiency
,CORE_CS,MEDIUM,Which page replacement algorithm suffers from Belady's anomaly?,MCQ,"[""LRU"",""FIFO"",""Optimal"",""LFU""]",1,FIFO suffers from Belady's anomaly
,CORE_CS,MEDIUM,What is the purpose of semaphore?,MCQ,"[""Process synchronization"",""Memory allocation"",""File management"",""Network communication""]",0,Semaphore is for process synchronization
,CORE_CS,MEDIUM,In TCP three-way handshake what is the second step?,MCQ,"[""SYN"",""SYN-ACK"",""ACK"",""FIN""]",1,Second step is SYN-ACK
,CORE_CS,MEDIUM,What is the time complexity of binary search tree insertion in average case?,MCQ,"[""O(n)"",""O(log n)"",""O(1)"",""O(n log n)""]",1,BST insertion average case is O(log n)
,CORE_CS,MEDIUM,Which isolation level prevents dirty reads?,MCQ,"[""Read Uncommitted"",""Read Committed"",""Repeatable Read"",""Serializable""]",1,Read Committed prevents dirty reads
,CORE_CS,MEDIUM,What is the default subnet mask for Class B network?,MCQ,"[""255.0.0.0"",""255.255.0.0"",""255.255.255.0"",""255.255.255.255""]",1,Class B uses 255.255.0.0
,CORE_CS,MEDIUM,Which tree traversal gives sorted output in BST?,MCQ,"[""Preorder"",""Postorder"",""Inorder"",""Level Order""]",2,Inorder traversal of BST gives sorted order
,CORE_CS,MEDIUM,What is a critical section?,MCQ,"[""Code segment accessing shared resource"",""Kernel code"",""System call"",""Interrupt handler""]",0,Critical section accesses shared resources
,CORE_CS,MEDIUM,Which join returns all records from both tables?,MCQ,"[""Inner Join"",""Left Join"",""Right Join"",""Full Outer Join""]",3,Full Outer Join returns all records
,CORE_CS,MEDIUM,What is the purpose of ARP cache?,MCQ,"[""Store IP to MAC mappings"",""Store DNS records"",""Store routing tables"",""Store firewall rules""]",0,ARP cache stores IP-MAC mappings
,CORE_CS,MEDIUM,What does ACID stand for in DBMS?,MCQ,"[""Atomicity Consistency Isolation Durability"",""Atomicity Concurrency Isolation Data"",""Access Control Identity Data"",""Atomicity Connection Integrity Durability""]",0,ACID is Atomicity Consistency Isolation Durability
,CORE_CS,MEDIUM,Which scheduling algorithm gives minimum average waiting time?,MCQ,"[""FCFS"",""Round Robin"",""Shortest Job First"",""Priority""]",2,SJF gives minimum average waiting time
,CORE_CS,MEDIUM,What is a B+ tree used for in databases?,MCQ,"[""Sorting"",""Indexing"",""Hashing"",""Searching only""]",1,B+ tree is used for indexing
,CORE_CS,MEDIUM,What is the purpose of NAT?,MCQ,"[""Translate private IP to public IP"",""Resolve domain names"",""Encrypt data"",""Route packets""]",0,NAT translates private to public IP
,CORE_CS,MEDIUM,What is method overriding?,MCQ,"[""Redefining parent method in child class"",""Multiple methods with same name"",""Static methods"",""Final methods""]",0,Overriding redefines parent method in child
,CORE_CS,MEDIUM,Which protocol uses sliding window?,MCQ,"[""UDP"",""TCP"",""ICMP"",""ARP""]",1,TCP uses sliding window protocol
,CORE_CS,MEDIUM,What is denormalization?,MCQ,"[""Adding redundancy for performance"",""Removing redundancy"",""Creating indexes"",""Deleting records""]",0,Denormalization adds redundancy for performance
,CORE_CS,MEDIUM,What is internal fragmentation?,MCQ,"[""Unused space within allocated memory"",""Unused space between blocks"",""Disk fragmentation"",""File fragmentation""]",0,Internal fragmentation is unused space within allocation
,CORE_CS,MEDIUM,Which layer handles data compression in OSI?,MCQ,"[""Session"",""Presentation"",""Application"",""Transport""]",1,Presentation layer handles compression
,CORE_CS,MEDIUM,What is a singleton pattern?,MCQ,"[""Class with only one instance"",""Multiple instances"",""Abstract class"",""Interface""]",0,Singleton ensures only one instance
